Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Group,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR31443327,RNA-Seq,280,6128627116,PRJNA1189476,SAMN44971334,1912332262,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX26812186,uncalculated,uncalculated,missing,ZCF,Illumina NovaSeq 6000,GSM8647321,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:00:00Z,1,GSM8647321,lung,SRP546985,lung
SRR31443328,RNA-Seq,280,7114302841,PRJNA1189476,SAMN44971335,2203787500,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX26812185,uncalculated,uncalculated,missing,ZCF,Illumina NovaSeq 6000,GSM8647320,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:03:00Z,1,GSM8647320,lung,SRP546985,lung
SRR31443329,RNA-Seq,280,6977065635,PRJNA1189476,SAMN44971336,2182692055,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX26812184,uncalculated,uncalculated,missing,ZCF,Illumina NovaSeq 6000,GSM8647319,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:02:00Z,1,GSM8647319,lung,SRP546985,lung
SRR31443330,RNA-Seq,280,6247415165,PRJNA1189476,SAMN44971337,1960928786,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX26812183,uncalculated,uncalculated,missing,ZCF,Illumina NovaSeq 6000,GSM8647318,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:02:00Z,1,GSM8647318,lung,SRP546985,lung
SRR31443331,RNA-Seq,280,6540245918,PRJNA1189476,SAMN44971338,2041250923,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX26812182,uncalculated,uncalculated,missing,ZCF,Illumina NovaSeq 6000,GSM8647317,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:00:00Z,1,GSM8647317,lung,SRP546985,lung
SRR31443332,RNA-Seq,281,5945358968,PRJNA1189476,SAMN44971339,1923209963,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX26812181,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647316,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:00:00Z,1,GSM8647316,lung,SRP546985,lung
SRR31443333,RNA-Seq,280,6719639929,PRJNA1189476,SAMN44971364,2102030177,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX26812180,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647291,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:05:00Z,1,GSM8647291,lung,SRP546985,lung
SRR31443334,RNA-Seq,280,6950949942,PRJNA1189476,SAMN44971365,2175918765,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX26812179,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647290,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647290,lung,SRP546985,lung
SRR31443335,RNA-Seq,281,6709197921,PRJNA1189476,SAMN44971366,2090463845,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX26812178,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647289,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:03:00Z,1,GSM8647289,lung,SRP546985,lung
SRR31443336,RNA-Seq,280,6340008577,PRJNA1189476,SAMN44971367,1978525477,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX26812177,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647288,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:02:00Z,1,GSM8647288,lung,SRP546985,lung
