"Package","Version"
"base","4.5.2"
"boot","1.3-32"
"class","7.3-23"
"cluster","2.1.8.2"
"codetools","0.2-20"
"compiler","4.5.2"
"datasets","4.5.2"
"foreign","0.8-91"
"graphics","4.5.2"
"grDevices","4.5.2"
"grid","4.5.2"
"KernSmooth","2.23-26"
"lattice","0.22-9"
"MASS","7.3-65"
"Matrix","1.7-4"
"methods","4.5.2"
"mgcv","1.9-4"
"nlme","3.1-168"
"nnet","7.3-20"
"parallel","4.5.2"
"rpart","4.1.24"
"spatial","7.3-18"
"splines","4.5.2"
"stats","4.5.2"
"stats4","4.5.2"
"survival","3.8-6"
"tcltk","4.5.2"
"tools","4.5.2"
"utils","4.5.2"
